lat_deg,lon_deg,route_name,color
57.23821500,10.54761000,uten navn,Rod
57.23820833,10.54766000,uten navn,Rod
57.23820000,10.54770833,uten navn,Rod
57.23819167,10.54775833,uten navn,Rod
57.23817833,10.54782167,uten navn,Rod
57.23816833,10.54786833,uten navn,Rod
57.23816000,10.54791500,uten navn,Rod
57.23815000,10.54796333,uten navn,Rod
57.23814167,10.54801167,uten navn,Rod
57.23813167,10.54805667,uten navn,Rod
57.23812333,10.54810167,uten navn,Rod
57.23812000,10.54815333,uten navn,Rod
57.23810500,10.54824333,uten navn,Rod
57.23810500,10.54824333,uten navn,Rod
57.23781667,10.54985000,uten navn,Rod
57.23767500,10.55064500,uten navn,Rod
57.22382667,10.67353333,uten navn,Rod
57.25198167,10.85754833,uten navn,Rod
57.25233167,10.86909333,uten navn,Rod
57.25230667,10.87345500,uten navn,Rod
57.25252167,10.87716500,uten navn,Rod
57.25253167,10.87736167,uten navn,Rod
57.25253500,10.87743667,uten navn,Rod
57.25254500,10.87766333,uten navn,Rod
57.25255000,10.87774333,uten navn,Rod
57.25255667,10.87781833,uten navn,Rod
57.25256000,10.87789667,uten navn,Rod
57.25257333,10.87812000,uten navn,Rod
57.25257833,10.87819667,uten navn,Rod
57.25258333,10.87826667,uten navn,Rod
57.25259000,10.87834500,uten navn,Rod
57.25259167,10.87841667,uten navn,Rod
57.25259833,10.87849833,uten navn,Rod
57.25260333,10.87857333,uten navn,Rod
57.25261167,10.87872000,uten navn,Rod
57.25262333,10.87891667,uten navn,Rod
57.23266333,10.54602500,uten navn,Rod
57.23264833,10.54610167,uten navn,Rod
57.23262500,10.54623500,uten navn,Rod
57.23256000,10.54658333,uten navn,Rod
57.23253500,10.54671667,uten navn,Rod
57.23250667,10.54687000,uten navn,Rod
57.23248167,10.54699500,uten navn,Rod
57.23245667,10.54712833,uten navn,Rod
57.23244167,10.54720333,uten navn,Rod
57.23215333,10.54865500,uten navn,Rod
57.23196000,10.55003833,uten navn,Rod
57.22879333,10.55753167,uten navn,Rod
57.22871833,10.55772000,uten navn,Rod
57.22816833,10.55902000,uten navn,Rod
57.22753833,10.56051000,uten navn,Rod
57.22711833,10.56150500,uten navn,Rod
57.22648667,10.56300167,uten navn,Rod
57.22597333,10.56421500,uten navn,Rod
57.22588000,10.56446500,uten navn,Rod
57.22582500,10.56471000,uten navn,Rod
57.22545667,10.56693833,uten navn,Rod
57.22510167,10.56908500,uten navn,Rod
57.22420000,10.57454167,uten navn,Rod
57.22391667,10.57639833,uten navn,Rod
57.22384500,10.57687167,uten navn,Rod
57.22372167,10.57744833,uten navn,Rod
57.22366167,10.57788500,uten navn,Rod
57.22347167,10.57908500,uten navn,Rod
57.22307333,10.58166000,uten navn,Rod
57.22296833,10.58222833,uten navn,Rod
57.22270667,10.58388833,uten navn,Rod
57.22234500,10.58590333,uten navn,Rod
57.22186667,10.58866667,uten navn,Rod
57.22152500,10.59073333,uten navn,Rod
57.22128333,10.59220000,uten navn,Rod
57.22033833,10.59801333,uten navn,Rod
57.21980167,10.60136833,uten navn,Rod
57.21878167,10.60732500,uten navn,Rod
57.21811667,10.61134667,uten navn,Rod
57.21611833,10.62348667,uten navn,Rod
57.21570333,10.62609500,uten navn,Rod
57.21548500,10.62741667,uten navn,Rod
57.21531500,10.62843667,uten navn,Rod
57.21515167,10.62936833,uten navn,Rod
57.21493667,10.63061500,uten navn,Rod
57.21473833,10.63182000,uten navn,Rod
57.21434000,10.63422333,uten navn,Rod
57.21407500,10.63581667,uten navn,Rod
57.21386833,10.63711500,uten navn,Rod
57.21359667,10.63872667,uten navn,Rod
57.21341500,10.63973000,uten navn,Rod
57.21325333,10.64064333,uten navn,Rod
57.21318500,10.64112000,uten navn,Rod
57.21303333,10.64203333,uten navn,Rod
57.21291500,10.64289667,uten navn,Rod
57.21238167,10.64609667,uten navn,Rod
57.21217333,10.64743167,uten navn,Rod
57.21182167,10.64965000,uten navn,Rod
57.21167167,10.65051667,uten navn,Rod
57.21141167,10.65193000,uten navn,Rod
57.21121333,10.65300667,uten navn,Rod
57.21092000,10.65477167,uten navn,Rod
57.21058833,10.65677500,uten navn,Rod
57.21033167,10.65836667,uten navn,Rod
57.21007000,10.65995333,uten navn,Rod
57.20993000,10.66093667,uten navn,Rod
57.20982500,10.66164667,uten navn,Rod
57.20965500,10.66256000,uten navn,Rod
57.20948667,10.66363333,uten navn,Rod
57.20935500,10.66448500,uten navn,Rod
57.20920667,10.66539500,uten navn,Rod
57.20910667,10.66604500,uten navn,Rod
57.20899000,10.66666000,uten navn,Rod
57.20892000,10.66705167,uten navn,Rod
57.20864333,10.66868000,uten navn,Rod
57.20792833,10.67283167,uten navn,Rod
57.20788667,10.67314333,uten navn,Rod
57.20787000,10.67347333,uten navn,Rod
57.20793333,10.67384667,uten navn,Rod
57.20845333,10.67661667,uten navn,Rod
57.20893833,10.67924500,uten navn,Rod
57.20930333,10.68119167,uten navn,Rod
57.20973333,10.68337333,uten navn,Rod
57.20990500,10.68431000,uten navn,Rod
57.21065333,10.68849333,uten navn,Rod
57.21084000,10.68947667,uten navn,Rod
57.21102333,10.69048333,uten navn,Rod
57.21144333,10.69277833,uten navn,Rod
57.21184833,10.69489333,uten navn,Rod
57.21202500,10.69586167,uten navn,Rod
57.21316667,10.70177333,uten navn,Rod
57.21335667,10.70293667,uten navn,Rod
57.21360167,10.70413167,uten navn,Rod
57.21381167,10.70521000,uten navn,Rod
57.21404167,10.70675500,uten navn,Rod
57.21412667,10.70727500,uten navn,Rod
57.21433167,10.70831833,uten navn,Rod
57.21444000,10.70900167,uten navn,Rod
57.21456167,10.70969000,uten navn,Rod
57.21462500,10.70998500,uten navn,Rod
57.21471167,10.71041000,uten navn,Rod
57.21485333,10.71108167,uten navn,Rod
57.21508333,10.71246167,uten navn,Rod
57.21526000,10.71318167,uten navn,Rod
57.21540833,10.71372833,uten navn,Rod
57.21546667,10.71394833,uten navn,Rod
57.21552333,10.71420000,uten navn,Rod
57.21555667,10.71445500,uten navn,Rod
57.21560333,10.71482000,uten navn,Rod
57.21567833,10.71529500,uten navn,Rod
57.21573333,10.71555000,uten navn,Rod
57.21598000,10.71686500,uten navn,Rod
57.21611000,10.71760500,uten navn,Rod
57.21632000,10.71880833,uten navn,Rod
57.21649667,10.71968500,uten navn,Rod
57.21652500,10.71982500,uten navn,Rod
57.21656333,10.72013000,uten navn,Rod
57.21665500,10.72070000,uten navn,Rod
57.21675500,10.72123833,uten navn,Rod
57.21685333,10.72175000,uten navn,Rod
57.21691500,10.72204167,uten navn,Rod
57.21699667,10.72246167,uten navn,Rod
57.21712167,10.72306000,uten navn,Rod
57.21715000,10.72325500,uten navn,Rod
57.21724167,10.72398833,uten navn,Rod
57.21727167,10.72416500,uten navn,Rod
57.21734000,10.72454500,uten navn,Rod
57.21737500,10.72476667,uten navn,Rod
57.21741833,10.72498667,uten navn,Rod
57.21752167,10.72564000,uten navn,Rod
57.21758833,10.72600167,uten navn,Rod
57.21762500,10.72627333,uten navn,Rod
57.21765500,10.72640167,uten navn,Rod
57.21769000,10.72662833,uten navn,Rod
57.21778333,10.72708833,uten navn,Rod
57.21786833,10.72746500,uten navn,Rod
57.21791667,10.72771333,uten navn,Rod
57.21799000,10.72803000,uten navn,Rod
57.21803333,10.72824833,uten navn,Rod
57.21808000,10.72856667,uten navn,Rod
57.21811333,10.72882667,uten navn,Rod
57.21833500,10.73010500,uten navn,Rod
57.21837833,10.73039333,uten navn,Rod
57.21847000,10.73086667,uten navn,Rod
57.21852667,10.73121500,uten navn,Rod
57.21860833,10.73166667,uten navn,Rod
57.21870000,10.73218167,uten navn,Rod
57.21882167,10.73283833,uten navn,Rod
57.21893833,10.73344333,uten navn,Rod
57.21906000,10.73415667,uten navn,Rod
57.21914667,10.73465167,uten navn,Rod
57.21928167,10.73538667,uten navn,Rod
57.21945167,10.73626000,uten navn,Rod
57.21957000,10.73691000,uten navn,Rod
57.21974000,10.73786333,uten navn,Rod
57.21986000,10.73847833,uten navn,Rod
57.21998000,10.73912333,uten navn,Rod
57.22007833,10.73964500,uten navn,Rod
57.22012333,10.73992167,uten navn,Rod
57.22022833,10.74051833,uten navn,Rod
57.22031833,10.74101667,uten navn,Rod
57.22039667,10.74146167,uten navn,Rod
57.22065833,10.74288000,uten navn,Rod
57.22073833,10.74333667,uten navn,Rod
57.22085667,10.74391500,uten navn,Rod
57.22089000,10.74412333,uten navn,Rod
57.22092167,10.74432167,uten navn,Rod
57.22098333,10.74462000,uten navn,Rod
57.22144667,10.74723667,uten navn,Rod
57.22173833,10.74879000,uten navn,Rod
57.22210167,10.75073500,uten navn,Rod
57.22238667,10.75233333,uten navn,Rod
57.22267333,10.75389500,uten navn,Rod
57.22311333,10.75634500,uten navn,Rod
57.22339333,10.75788167,uten navn,Rod
57.22441333,10.76337333,uten navn,Rod
57.22494500,10.76639667,uten navn,Rod
57.22539833,10.76917833,uten navn,Rod
57.22600667,10.77326167,uten navn,Rod
57.22611333,10.77383500,uten navn,Rod
57.22673167,10.77748000,uten navn,Rod
57.22685833,10.77813500,uten navn,Rod
57.22707167,10.77934667,uten navn,Rod
57.22728833,10.78047000,uten navn,Rod
57.22747333,10.78131500,uten navn,Rod
57.22782667,10.78268833,uten navn,Rod
57.22827833,10.78454667,uten navn,Rod
